,SUM of Jan,SUM of Feb,SUM of Mar,SUM of Apr,SUM of May,SUM of Jun,SUM of Jul,SUM of Aug,SUM of Sep,SUM of Oct,SUM of Nov,SUM of Dec,Total
Acura,"8,295","11,181","6,314","4,540","9,302","10,962","11,846","12,316","11,564","12,267","10,750","14,231","123,568.00"
Alfa,1202,1557,943,672,1494,1569,1773,1576,1707,2055,1688,2349,"18,585.00"
Audi,13438,17396,10537,6270,13935,14634,16795,14928,16173,"21,090",17327,"24,102","186,625.00"
BMW,22009,25002,15141,9171,"20,382","21,403","24,351","21,565",22523,"33,313","27,363","38,074","280,297.00"
Buick,11001,14242,8627,6395,14207,14919,17238,15333,16599,14907,12244,17037,"162,749.00"
Cadillac,9849,12752,7722,4194,9317,9786,11560,10275,11131,14475,11890,16544,"129,495.00"
Chevrolet,"140,809","178,302","110,418","59,471","132,149","138,761","157,488","139,990","151,656","175,755","144,370","200,864","1,730,033.00"
Chrysler,9785,12667,7493,2494,5543,5820,11175,9933,10761,11677,9592,13345,"110,285.00"
Dodge,"28,795","37,279","22,582","7,875","17,503","18,378","25,224","22,421","24,290","21,246","17,452","24,281","267,326.00"
Fiat,366,475,287,241,536,562,386,344,372,248,203,284,"4,304.00"
Ford,158843,205646,124562,73985,164416,172634,182874,162555,176101,171770,140429,"195,380","1,929,195.00"
Genesis,1399,1587,969,806,1350,1429,1257,1360,1128,1054,935,3110,"16,384.00"
GMC,"38,559","49,921","30,238","18,317","40,704","42,738","46,547","41,375","44,824","54,680","44,917","62,493","515,313.00"
Honda,"92,395","107,742","70,116","52,705","110,636","102,703","102,374","122,278","114,117","113,197","90,723","120,819","1,199,805.00"
Hyundai,"42,744","53,013","35,118",33968,"57,619","47,791","57,677","58,361","54,790","57,395",55171,"66,278","619,925.00"
Infiniti,"8,300","10,746","6,510",2899,"6,438","6,760","6,090","5,414","5,864","6,910",5675,"7,897","79,503.00"
Jaguar,2581,2295,2390,778,1728,1814,1647,1466,1587,1856,1523,2121,"21,786.00"
Jeep,"59,331","76,811","46,525","31,808","70,685","74,220","77,918","69,260","75,033","72,096","59,222","82,397","795,306.00"
Kia,40355,52177,45413,31705,45727,47870,52479,57015,55519,56084,47897,53764,"586,005.00"
Land,7793,6927,7216,2610,5800,6090,5575,4955,5369,"9,343","7,675","10,680","80,033.00"
Lexus,"19,621","21,139","15,585","9,082","20,182","21,194","23,440","27,091","24,754","26,691","28,040","38,223","275,042.00"
Lincoln,"8,303","10,749","6,510",3830,"8,512","8,938","9,662","8,589","9,304","10,050","8,387","12,571","105,405.00"
Make,935,"1,083",723,506,"1,039","1,109","1,230","1,331","1,377","1,523","1,141","1,417","13,414.00"
Mazda,23621,28385,15664,10940,24933,25326,24085,26089,24237,22736,21752,"31,308","279,076.00"
Mercedes-Benz,"24,445","31,650",19170,12112,"27,901","29,492","29,675","26,377","28,576","32,153",26411,"36,746","324,708.00"
Mini,"1,701","2,202",1333,952,"2,115","2,221","3,173","2,810","2,991","2,884","2,369","3,296","28,047.00"
Mitsubishi,"10,626","15,543","9,394",4333,3852,4012,8716,7748,8393,4982,4093,5694,"87,386.00"
Nissan,75370,97576,59102,29024,64574,67719,71456,63516,86782,75112,61690,85841,"837,762.00"
Porsche,3896,5033,3055,2195,4877,5121,5452,4846,5250,5924,4866,6771,"57,286.00"
Ram,"45,630","59,074","35,782","22,983","51,073","53,626","61,425","54,599","59,150","61,160","50,238","69,897","624,637.00"
Subaru,"46,285","51,695","32,611","30,620","51,988","53,911","51,458","57,885","60,103","61,411","50,413","63,558","611,938.00"
Tesla,"22,350","20,450","10,000","6,624","14,720","15,456","48,846","43,418","47,036","21,591","17,736","24,675","292,902.00"
Toyota,"146,244","173,013","120,145","62,563","139,028","145,980","146,044","164,750","172,370","178,658","177,725","211,378","1,837,898.00"
Volkswagen,24382,31565,51168,12588,27972,29373,29634,26342,28538,31751,26082,36289,"355,684.00"
Volvo,6157,7841,"5,487",3866,9519,10385,9697,10378,10274,10691,11591,14244,"110,130.00"
Grand Total,1157415,"1,434,716",944850,563122,"1,181,756","1,214,706","1,336,267","1,298,489","1,370,243","1,398,735","1,199,580","1,597,958",